Province,City,Area
BANTEN,CILEGON,PURWAKARTA-CIL
BANTEN,CILEGON,GEROGOL
BANTEN,CILEGON,PULO MERAK
JAWA BARAT,CIMAHI,CIMAHI SELATAN
JAWA BARAT,CIMAHI,CIMAHI TENGAH
JAWA BARAT,CIMAHI,CIMAHI UTARA
JAWA BARAT,CIREBON,KEJAKSAN
JAWA BARAT,CIREBON,KESAMBI
JAWA BARAT,CIREBON,HARJAMUKTI
JAWA BARAT,CIREBON,LEMAH WUNGKUK
JAWA BARAT,CIREBON,PEKALIPAN
SUMATERA UTARA,DAIRI,SIDIKALANG
PAPUA,DEIYAI,BOWOBADO
PAPUA,DEIYAI,KAPIRAYA
PAPUA,DEIYAI,TIGI
PAPUA,DEIYAI,TIGI BARAT
JAWA TENGAH,DEMAK,DEMAK
JAWA BARAT,DEPOK,PANCORAN MAS
JAWA BARAT,DEPOK,CIMANGGIS
JAWA BARAT,DEPOK,SAWANGAN-DPK
JAWA BARAT,DEPOK,SUKMAJAYA
JAWA BARAT,DEPOK,LIMO
JAWA BARAT,DEPOK,BEJI-DPK
JAWA BARAT,DEPOK,TAPOS
JAWA BARAT,DEPOK,CINERE
JAWA BARAT,DEPOK,CILODONG
JAWA BARAT,DEPOK,BOJONGSARI-DPK
SUMATERA BARAT,DHAMASRAYA,PULAU PUNJUNG
PAPUA,DOGIYAI,DOGIYAI
PAPUA,DOGIYAI,KAMU
PAPUA,DOGIYAI,KAMU SELATAN
PAPUA,DOGIYAI,KAMU TIMUR
PAPUA,DOGIYAI,KAMU UTARA
PAPUA,DOGIYAI,MAPIA
PAPUA,DOGIYAI,MAPIA BARAT
PAPUA,DOGIYAI,MAPIA TENGAH
PAPUA,DOGIYAI,PIYAIYE
PAPUA,DOGIYAI,SUKIKAI SELATAN
PAPUA,DOGIYAI,SUKIKA
RIAU,DUMAI,DUMAI BARAT
RIAU,DUMAI,DUMAI KOTA
RIAU,DUMAI,DUMAI SELATAN
RIAU,DUMAI,DUMAI TIMUR
SUMATERA SELATAN,EMPAT LAWANG,TEBING TINGGI-TBI
NUSA TENGGARA TIMUR,ENDE,PULAU ENDE
NUSA TENGGARA TIMUR,ENDE,WEWARIA
NUSA TENGGARA TIMUR,ENDE,WOLOJITA
SULAWESI SELATAN,ENREKANG,ENREKANG
PAPUA BARAT,FAK-FAK,FAK FAK
JAWA BARAT,GARUT,TAROGONG KALER
JAWA BARAT,GARUT,TAROGONG KIDUL
JAWA BARAT,GARUT,SAMARANG
JAWA BARAT,GARUT,BAYONGBONG
JAWA BARAT,GARUT,KARANGPAWITAN
JAWA BARAT,GARUT,BLUBUR LIMBANGAN
JAWA BARAT,GARUT,SELAAWI
JAWA BARAT,GARUT,KADUNGORA
JAWA BARAT,GARUT,LELES-GRT
NANGGROE ACEH DARUSSALAM,GAYO LUES,BLANG KEJEREN
NANGGROE ACEH DARUSSALAM,GAYO LUES,BLANG PEGAYON
NANGGROE ACEH DARUSSALAM,GAYO LUES,DABUN GELANG
NANGGROE ACEH DARUSSALAM,GAYO LUES,KUTA PANJANG
NANGGROE ACEH DARUSSALAM,GAYO LUES,PANTAN CUACA
NANGGROE ACEH DARUSSALAM,GAYO LUES,PUTRI BETUNG
NANGGROE ACEH DARUSSALAM,GAYO LUES,RIKIT GAIB
NANGGROE ACEH DARUSSALAM,GAYO LUES,TERANGUN
NANGGROE ACEH DARUSSALAM,GAYO LUES,TERIPE JAYA
NANGGROE ACEH DARUSSALAM,GAYO LUES,BLANG JERANGO
GORONTALO,GORONTALO UTARA,KWANDANG
GORONTALO,GORONTALO,KOTA BARAT
GORONTALO,GORONTALO,KOTA SELATAN
GORONTALO,GORONTALO,KOTA TIMUR
GORONTALO,GORONTALO,DUMBO RAYA
GORONTALO,GORONTALO,HULONTHALANGI
GORONTALO,GORONTALO,SIPATANA
GORONTALO,GORONTALO,KOTA UTARA
GORONTALO,GORONTALO,KOTA TENGAH
SULAWESI TENGGARA,BUTON UTARA,KAMBOWA
SULAWESI TENGGARA,BUTON UTARA,KULISUSU BARAT
SULAWESI TENGGARA,BUTON UTARA,KULISUSU UTARA
NANGGROE ACEH DARUSSALAM,ACEH BARAT DAYA,BLANG PIDIE
NANGGROE ACEH DARUSSALAM,ACEH SELATAN,TAPAK TUAN
JAWA TENGAH,AMBARAWA,AMBARAWA-AMB
MALUKU,AMBON,BAGUALA
MALUKU,AMBON,TELUK AMBON
KALIMANTAN SELATAN,AMUNTAI,AMUNTAI SELATAN
KALIMANTAN SELATAN,AMUNTAI,AMUNTAI TENGAH
KALIMANTAN SELATAN,AMUNTAI,AMUNTAI UTARA
PAPUA,ARFAK,ANGGI
PAPUA,ARFAK,ANGGI GIDA
PAPUA,ARFAK,DIDOHU
PAPUA,ARFAK,MENYAMBOUW
PAPUA,ARFAK,TAIGE
PAPUA,ARFAK,TESTEGA
PAPUA,ARFAK,CATUBOUW
PAPUA,ARFAK,HINGK
PAPUA,ARFAK,MEMBEY
SUMATERA UTARA,ASAHAN,ASAHAN
SUMATERA UTARA,ASAHAN,KISARAN BARAT KOTA
SUMATERA UTARA,ASAHAN,KISARAN TIMUR KOTA
PAPUA,ASMAT,AGATS
PAPUA,ASMAT,AKAT
PAPUA,ASMAT,FAYIT
PAPUA,ASMAT,PANTAI KASUARI
PAPUA,ASMAT,SAWA ERMA
PAPUA,ASMAT,SUATOR
PAPUA,ASMAT,KOLF BRAZA
PAPUA,ASMAT,SURU-SURU
PAPUA,ASMAT,UNIR SIRAU
PAPUA,ASMAT,DER KOUMUR
PAPUA,ASMAT,BETCBAMU
PAPUA,ASMAT,JETSY
PAPUA,ASMAT,KOPLAY
PAPUA,ASMAT,PULAU TIGA-AGT
PAPUA,ASMAT,SAFAN
PAPUA,ASMAT,SIRETS
PAPUA,ASMAT,KUATOR
PAPUA,ASMAT,AYIP
BALI,BADUNG,MENGWI
BALI,BADUNG,KUTA
NUSA TENGGARA TIMUR,BAJAWA,AIMERE
NUSA TENGGARA TIMUR,BAJAWA,BAJAWA UTARA
NUSA TENGGARA TIMUR,BAJAWA,RIUNG
NUSA TENGGARA TIMUR,BAJAWA,RIUNG BARAT WOLOMEZE
NUSA TENGGARA TIMUR,BAJAWA,RIUNG SELATAN
NUSA TENGGARA TIMUR,BAJAWA,SOA
NUSA TENGGARA TIMUR,BAJAWA,GOLEWA BARAT
NUSA TENGGARA TIMUR,BAJAWA,GOLEWA SELATAN
NUSA TENGGARA TIMUR,BAJAWA,INERIE
NUSA TENGGARA TIMUR,BAJAWA,BAJAWA
KALIMANTAN SELATAN,BALANGAN,AWAYAN
KALIMANTAN SELATAN,BALANGAN,BATU MANDI
KALIMANTAN SELATAN,BALANGAN,HALONG
KALIMANTAN SELATAN,BALANGAN,JUAI
KALIMANTAN SELATAN,BALANGAN,LAMPIHONG
KALIMANTAN SELATAN,BALANGAN,PARINGIN
KALIMANTAN SELATAN,BALANGAN,TEBING TINGGI-PAG
BANTEN,BALARAJA,KELAPA DUA
BANTEN,BALARAJA,JAMBE
BANTEN,BALARAJA,PANONGAN
BANTEN,BALARAJA,TIGARAKSA
BANTEN,BALARAJA,MEKAR BARU
BANTEN,BALARAJA,SINDANG JAYA
BANTEN,BALARAJA,PASAR KEMIS
BANTEN,BALARAJA,RAJEG
BANTEN,BALARAJA,TELUK NAGA
BANTEN,BALARAJA,SEPATAN TIMUR
BANTEN,BALARAJA,CISAUK
BANTEN,BALARAJA,JAYANTI
BANTEN,BALARAJA,KRONJO
BANTEN,BALARAJA,KRESEK
BANTEN,BALARAJA,PAGEDANGAN
BANTEN,BALARAJA,LEGOK
BANTEN,BALARAJA,CURUG-BAL
BANTEN,BALARAJA,KEMIRI-BAL
